mRNA,GO,Term,Annotated,Significant,Expected,Fisher,ontology,sig.prop,Month
evm.TU.chromosome_3.1113,GO:0051603,proteolysis involved in protein catabolic process,466,7,7.14,0.01245,Biological Processes,0.01502145923,February
evm.TU.chromosome_3.280,GO:0006352,DNA-templated transcription initiation,130,10,1.99,1.10E-06,Biological Processes,0.07692307692,February
evm.TU.chromosome_3.280,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Biological Processes,0.14,February
evm.TU.chromosome_3.280,GO:0006352,DNA-templated transcription initiation,130,10,1.99,1.10E-06,Biological Processes,0.07692307692,February
evm.TU.chromosome_3.280,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Biological Processes,0.14,February
evm.TU.chromosome_3.281,GO:0006352,DNA-templated transcription initiation,130,10,1.99,1.10E-06,Biological Processes,0.07692307692,February
evm.TU.chromosome_3.281,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Biological Processes,0.14,February
evm.TU.chromosome_3.69,GO:0071230,cellular response to amino acid stimulus,77,6,1.18,0.00116,Biological Processes,0.07792207792,February
evm.TU.chromosome_3.995,GO:0042744,hydrogen peroxide catabolic process,41,5,0.63,0.00039,Biological Processes,0.1219512195,February
evm.TU.chromosome_3.563,GO:0030199,collagen fibril organization,84,8,1.29,4.30E-05,Biological Processes,0.09523809524,February
evm.TU.chromosome_3.563,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Biological Processes,0.05501618123,February
evm.TU.chromosome_3.332,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Biological Processes,0.14,February
evm.TU.chromosome_3.333,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Biological Processes,0.14,February
evm.TU.chromosome_3.333,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Biological Processes,0.14,February
evm.TU.chromosome_3.336,GO:0006352,DNA-templated transcription initiation,130,10,1.99,1.10E-06,Biological Processes,0.07692307692,February
evm.TU.chromosome_3.336,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Biological Processes,0.14,February
evm.TU.chromosome_3.336,GO:0006352,DNA-templated transcription initiation,130,10,1.99,1.10E-06,Biological Processes,0.07692307692,February
evm.TU.chromosome_3.336,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Biological Processes,0.14,February
evm.TU.chromosome_3.54,GO:0006879,intracellular iron ion homeostasis,48,4,0.73,0.00616,Biological Processes,0.08333333333,February
evm.TU.chromosome_3.2075,GO:0051603,proteolysis involved in protein catabolic process,466,7,7.14,0.01245,Biological Processes,0.01502145923,February
evm.TU.chromosome_3.605,GO:0030199,collagen fibril organization,84,8,1.29,4.30E-05,Biological Processes,0.09523809524,February
evm.TU.chromosome_3.605,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Biological Processes,0.05501618123,February
evm.TU.chromosome_3.1412,GO:0001568,blood vessel development,585,12,8.96,0.01126,Biological Processes,0.02051282051,February
evm.TU.chromosome_3.459,GO:0006352,DNA-templated transcription initiation,130,10,1.99,1.10E-06,Biological Processes,0.07692307692,February
evm.TU.chromosome_3.459,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Biological Processes,0.14,February
evm.TU.chromosome_3.459,GO:0006352,DNA-templated transcription initiation,130,10,1.99,1.10E-06,Biological Processes,0.07692307692,February
evm.TU.chromosome_3.459,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Biological Processes,0.14,February
evm.TU.chromosome_3.458,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Biological Processes,0.14,February
evm.TU.chromosome_3.451,GO:0030048,actin filament-based movement,62,6,0.95,0.00693,Biological Processes,0.09677419355,February
evm.TU.chromosome_3.1599,GO:0033344,cholesterol efflux,37,3,0.57,0.0188,Biological Processes,0.08108108108,February
evm.TU.chromosome_3.1599,GO:0042632,cholesterol homeostasis,31,3,0.47,0.01163,Biological Processes,0.09677419355,February
evm.TU.chromosome_3.1599,GO:0010886,positive regulation of cholesterol storage,6,2,0.09,0.00336,Biological Processes,0.3333333333,February
evm.TU.chromosome_3.1599,GO:0010744,positive regulation of macrophage derived foam cell...,6,2,0.09,0.00336,Biological Processes,0.3333333333,February
evm.TU.chromosome_3.977,GO:0007179,transforming growth factor beta receptor signaling ...,193,6,2.96,0.00195,Biological Processes,0.0310880829,February
evm.TU.chromosome_3.347,GO:0006352,DNA-templated transcription initiation,130,10,1.99,1.10E-06,Biological Processes,0.07692307692,February
evm.TU.chromosome_3.347,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Biological Processes,0.14,February
evm.TU.chromosome_3.349,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Biological Processes,0.14,February
evm.TU.chromosome_3.348,GO:0006352,DNA-templated transcription initiation,130,10,1.99,1.10E-06,Biological Processes,0.07692307692,February
evm.TU.chromosome_3.348,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Biological Processes,0.14,February
evm.TU.chromosome_3.348,GO:0006352,DNA-templated transcription initiation,130,10,1.99,1.10E-06,Biological Processes,0.07692307692,February
evm.TU.chromosome_3.348,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Biological Processes,0.14,February
evm.TU.chromosome_3.1896,GO:0021501,prechordal plate formation,9,2,0.14,0.00783,Biological Processes,0.2222222222,February
evm.TU.chromosome_3.278,GO:0030261,chromosome condensation,37,4,0.57,0.00239,Biological Processes,0.1081081081,February
evm.TU.chromosome_3.278,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Biological Processes,0.14,February
evm.TU.chromosome_3.278,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Biological Processes,0.14,February
evm.TU.chromosome_3.70,GO:0007017,microtubule-based process,566,15,8.67,9.30E-06,Biological Processes,0.02650176678,February
evm.TU.chromosome_3.158,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Biological Processes,0.14,February
evm.TU.chromosome_3.80,GO:0001568,blood vessel development,585,12,8.96,0.01126,Biological Processes,0.02051282051,February
evm.TU.chromosome_3.1445,GO:0006879,intracellular iron ion homeostasis,48,4,0.73,0.00616,Biological Processes,0.08333333333,February
evm.TU.chromosome_3.1445,GO:0042730,fibrinolysis,27,4,0.41,0.00071,Biological Processes,0.1481481481,February
evm.TU.chromosome_3.1445,GO:0033619,membrane protein proteolysis,117,5,1.79,0.01264,Biological Processes,0.04273504274,February
evm.TU.chromosome_3.1445,GO:0030514,negative regulation of BMP signaling pathway,51,4,0.78,0.00764,Biological Processes,0.07843137255,February
evm.TU.chromosome_3.1445,GO:0097264,self proteolysis,16,4,0.24,8.50E-05,Biological Processes,0.25,February
evm.TU.chromosome_3.929,GO:0007266,Rho protein signal transduction,162,5,2.48,0.00578,Biological Processes,0.03086419753,February
evm.TU.chromosome_3.585,GO:0050790,regulation of catalytic activity,1442,21,22.08,0.00345,Biological Processes,0.0145631068,February
evm.TU.chromosome_3.279,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Biological Processes,0.14,February
evm.TU.chromosome_3.1863,GO:0006691,leukotriene metabolic process,31,3,0.47,0.03021,Biological Processes,0.09677419355,February
evm.TU.chromosome_3.1083,GO:0042744,hydrogen peroxide catabolic process,41,5,0.63,0.00039,Biological Processes,0.1219512195,February
evm.TU.chromosome_3.1126,GO:0033344,cholesterol efflux,37,3,0.57,0.0188,Biological Processes,0.08108108108,February
evm.TU.chromosome_3.1126,GO:0042632,cholesterol homeostasis,31,3,0.47,0.01163,Biological Processes,0.09677419355,February
evm.TU.chromosome_3.1126,GO:0032367,intracellular cholesterol transport,36,3,0.55,0.01747,Biological Processes,0.08333333333,February
evm.TU.chromosome_3.312,GO:0006730,one-carbon metabolic process,37,3,0.57,0.0188,Biological Processes,0.08108108108,February
evm.TU.chromosome_3.312,GO:0006730,one-carbon metabolic process,37,3,0.57,0.0188,Biological Processes,0.08108108108,February
evm.TU.chromosome_3.311,GO:0006730,one-carbon metabolic process,37,3,0.57,0.0188,Biological Processes,0.08108108108,February
evm.TU.chromosome_3.314,GO:0006352,DNA-templated transcription initiation,130,10,1.99,1.10E-06,Biological Processes,0.07692307692,February
evm.TU.chromosome_3.314,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Biological Processes,0.14,February
evm.TU.chromosome_3.314,GO:0006352,DNA-templated transcription initiation,130,10,1.99,1.10E-06,Biological Processes,0.07692307692,February
evm.TU.chromosome_3.314,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Biological Processes,0.14,February
evm.TU.chromosome_3.315,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Biological Processes,0.14,February
evm.TU.chromosome_3.878,GO:0006879,intracellular iron ion homeostasis,48,4,0.73,0.00616,Biological Processes,0.08333333333,February
evm.TU.chromosome_3.121,GO:0007179,transforming growth factor beta receptor signaling ...,193,6,2.96,0.00195,Biological Processes,0.0310880829,February
evm.TU.chromosome_3.460,GO:0006352,DNA-templated transcription initiation,130,10,1.99,1.10E-06,Biological Processes,0.07692307692,February
evm.TU.chromosome_3.460,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Biological Processes,0.14,February
evm.TU.chromosome_3.1866,GO:0006691,leukotriene metabolic process,31,3,0.47,0.03021,Biological Processes,0.09677419355,February
evm.TU.chromosome_3.1865,GO:0006691,leukotriene metabolic process,31,3,0.47,0.03021,Biological Processes,0.09677419355,February
evm.TU.chromosome_3.1079,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Biological Processes,0.05501618123,February
evm.TU.chromosome_3.1079,GO:0042744,hydrogen peroxide catabolic process,41,5,0.63,0.00039,Biological Processes,0.1219512195,February
evm.TU.chromosome_3.577,GO:0030199,collagen fibril organization,84,8,1.29,4.30E-05,Biological Processes,0.09523809524,February
evm.TU.chromosome_3.577,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Biological Processes,0.05501618123,February
evm.TU.chromosome_3.1058,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Biological Processes,0.14,February
evm.TU.chromosome_3.1058,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Biological Processes,0.14,February
evm.TU.chromosome_3.557,GO:0030199,collagen fibril organization,84,8,1.29,4.30E-05,Biological Processes,0.09523809524,February
evm.TU.chromosome_3.557,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Biological Processes,0.05501618123,February
evm.TU.chromosome_3.727,GO:0070374,positive regulation of ERK1 and ERK2 cascade,164,9,2.51,0.00097,Biological Processes,0.05487804878,February
evm.TU.chromosome_3.727,GO:0051897,positive regulation of phosphatidylinositol 3-kinas...,71,4,1.09,0.02347,Biological Processes,0.05633802817,February
evm.TU.chromosome_3.725,GO:0051897,positive regulation of phosphatidylinositol 3-kinas...,71,4,1.09,0.02347,Biological Processes,0.05633802817,February
evm.TU.chromosome_3.725,GO:0001501,skeletal system development,565,13,8.65,0.00039,Biological Processes,0.02300884956,February
evm.TU.chromosome_3.322,GO:0006309,apoptotic DNA fragmentation,15,3,0.23,0.01165,Biological Processes,0.2,February
evm.TU.chromosome_3.322,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Biological Processes,0.14,February
evm.TU.chromosome_3.322,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Biological Processes,0.14,February
evm.TU.chromosome_3.321,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Biological Processes,0.14,February
evm.TU.chromosome_3.320,GO:0006352,DNA-templated transcription initiation,130,10,1.99,1.10E-06,Biological Processes,0.07692307692,February
evm.TU.chromosome_3.320,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Biological Processes,0.14,February
evm.TU.chromosome_3.320,GO:0006352,DNA-templated transcription initiation,130,10,1.99,1.10E-06,Biological Processes,0.07692307692,February
evm.TU.chromosome_3.320,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Biological Processes,0.14,February
evm.TU.chromosome_3.820,GO:0070374,positive regulation of ERK1 and ERK2 cascade,164,9,2.51,0.00097,Biological Processes,0.05487804878,February
evm.TU.chromosome_3.820,GO:1900227,positive regulation of NLRP3 inflammasome complex a...,13,2,0.2,0.0163,Biological Processes,0.1538461538,February
evm.TU.chromosome_3.1326,GO:0048149,behavioral response to ethanol,22,3,0.34,0.00441,Biological Processes,0.1363636364,February
evm.TU.chromosome_3.1326,GO:0070374,positive regulation of ERK1 and ERK2 cascade,164,9,2.51,0.00097,Biological Processes,0.05487804878,February
evm.TU.chromosome_3.452,GO:0007179,transforming growth factor beta receptor signaling ...,193,6,2.96,0.00195,Biological Processes,0.0310880829,February
evm.TU.chromosome_3.455,GO:0006352,DNA-templated transcription initiation,130,10,1.99,1.10E-06,Biological Processes,0.07692307692,February
evm.TU.chromosome_3.455,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Biological Processes,0.14,February
evm.TU.chromosome_3.455,GO:0006352,DNA-templated transcription initiation,130,10,1.99,1.10E-06,Biological Processes,0.07692307692,February
evm.TU.chromosome_3.455,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Biological Processes,0.14,February
evm.TU.chromosome_3.454,GO:0006352,DNA-templated transcription initiation,130,10,1.99,1.10E-06,Biological Processes,0.07692307692,February
evm.TU.chromosome_3.454,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Biological Processes,0.14,February
evm.TU.chromosome_3.457,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Biological Processes,0.14,February
evm.TU.chromosome_3.457,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Biological Processes,0.14,February
evm.TU.chromosome_3.456,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Biological Processes,0.14,February
evm.TU.chromosome_3.396,GO:0070208,protein heterotrimerization,44,4,0.67,0.00451,Biological Processes,0.09090909091,February
evm.TU.chromosome_3.397,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Biological Processes,0.05501618123,February
evm.TU.chromosome_3.170,GO:0030199,collagen fibril organization,84,8,1.29,4.30E-05,Biological Processes,0.09523809524,February
evm.TU.chromosome_3.170,GO:0030198,extracellular matrix organization,309,17,4.73,0.00031,Biological Processes,0.05501618123,February
evm.TU.chromosome_3.171,GO:0070374,positive regulation of ERK1 and ERK2 cascade,164,9,2.51,0.00097,Biological Processes,0.05487804878,February
evm.TU.chromosome_3.307,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Biological Processes,0.14,February
evm.TU.chromosome_3.301,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Biological Processes,0.14,February
evm.TU.chromosome_3.300,GO:0006309,apoptotic DNA fragmentation,15,3,0.23,0.01165,Biological Processes,0.2,February
evm.TU.chromosome_3.300,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Biological Processes,0.14,February
evm.TU.chromosome_3.300,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Biological Processes,0.14,February
evm.TU.chromosome_3.302,GO:0006352,DNA-templated transcription initiation,130,10,1.99,1.10E-06,Biological Processes,0.07692307692,February
evm.TU.chromosome_3.302,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Biological Processes,0.14,February
evm.TU.chromosome_3.302,GO:0006352,DNA-templated transcription initiation,130,10,1.99,1.10E-06,Biological Processes,0.07692307692,February
evm.TU.chromosome_3.302,GO:0006334,nucleosome assembly,100,14,1.53,3.80E-10,Biological Processes,0.14,February
evm.TU.chromosome_3.1983,GO:0006879,intracellular iron ion homeostasis,48,4,0.73,0.00616,Biological Processes,0.08333333333,February
evm.TU.chromosome_3.243,GO:0071230,cellular response to amino acid stimulus,77,6,1.18,0.00116,Biological Processes,0.07792207792,February
evm.TU.chromosome_3.956,GO:0001501,skeletal system development,565,13,8.65,0.00039,Biological Processes,0.02300884956,February
